name;entitycode
Agência para a Competitividade e Inovação, I.P.;SIOE:ORG:070080000
Secretaria-Geral da Presidência de Conselho de Ministros;SIOE:ORG:013110000
Turismo de Portugal, I.P.;SIOE:ORG:073400000
Direção-Geral das Atividades Económicas;SIOE:ORG:071210000
IGAC – Inspeção-geral das Atividades Culturais;SIOE:ORG:060210000
Câmara Municipal de Cascais;SIOE:ORG:600000066
Câmara Municipal de Abrantes;SIOE:ORG:600000001
Câmara Municipal de Palmela;SIOE:ORG:600000196
Câmara Municipal de Faro;SIOE:ORG:600000095
Direção-Geral da Administração da Justiça;SIOE:ORG:151500000
Autoridade Nacional de Emergência e Proteção Civil;SIOE:ORG:021300000
Gabinete da Vice-Presidência, Emprego e Competitividade Empresarial;SIOE:ORG:875790272
Direção-Geral de Recursos da Defesa Nacional;SIOE:ORG:875792095
Serviços Partilhados do Ministério da Saúde, E.P.E.;SIOE:ORG:875780255
Câmara Municipal de Loures;SIOE:ORG:600000136
Direção-Geral do Território;SIOE:ORG:875780352
Instituto de Gestão Financeira e Equipamentos da Justiça, I.P.;SIOE:ORG:875780382
Câmara Municipal de Olhão;SIOE:ORG:600000187
Câmara Municipal de Loulé;SIOE:ORG:600000126
Câmara Municipal de São Brás de Alportel;SIOE:ORG:600000241
Câmara Municipal de Albufeira;SIOE:ORG:600000006
Câmara Municipal de Tavira;SIOE:ORG:600000266
Instituto Português da Qualidade, I.P.;SIOE:ORG:071600000
Direção-Geral do Emprego e das Relações de Trabalho;SIOE:ORG:090230000
Polícia de Segurança Pública;SIOE:ORG:020040000
Direção-Geral do Livro, dos Arquivos e das Bibliotecas;SIOE:ORG:875780384
Turismo de Portugal, I.P.;SIOE:ORG:073400000
Gabinete da Vice-Presidência, Emprego e Competitividade Empresarial;SIOE:ORG:875790272
Direção-Geral de Estatísticas da Educação e Ciência;SIOE:ORG:875780319
Administração Central do Sistema de Saúde;SIOE:ORG:149110000
Direção Regional de Agricultura e Pescas de Lisboa e Vale do Tejo;SIOE:ORG:032260000
Direção Regional de Agricultura e Pescas do Norte;SIOE:ORG:032270000
Direção Regional de Agricultura e Pescas do Centro;SIOE:ORG:032400000
Direção Regional de Agricultura e Pescas do Alentejo;SIOE:ORG:032240000
Direção Regional de Agricultura e Pescas do Algarve;SIOE:ORG:032250000
Agência para o Desenvolvimento e Coesão;SIOE:ORG:875791975
Câmara Municipal do Porto;SIOE:ORG:600000213
